WEAPON_FOUND_FLAG,STOP_FRISK_DATE,STOP_FRISK_TIME,YEAR2,MONTH2,DAY2,STOP_WAS_INITIATED,LOCATION_IN_OUT_CODE,JURISDICTION_DESCRIPTION,OBSERVED_DURATION_MINUTES,SUSPECT_REPORTED_AGE,SUSPECT_SEX,suspect_race_generalized,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,STOP_LOCATION_BORO_NAME,precinct_2020,pct_black_precinct,is_dominant_race_p,total_pop,black,white,hisp_latino,other,stop_patrol_boro,pct_black_boro,OBSERVED_DURATION_MIN,obs_duration_min_bin,suspect_height_bin,suspect_age_bin
1,2017-01-16,12:10:00 PM,2017,January,Monday,Based on Self Initiated,S,Transit,1.0,29.0,MALE,black,6.1,202.0,Muscular,MANHATTAN,13,0.05194361384023921,0,93640.0,4864.0,70786.0,8565.0,17990.0,PBMS,0.056,1.0,1,very_tall,adult
1,2017-01-16,2:10:00 AM,2017,January,Monday,Based on Radio Run,O,PSB,1.0,20.0,MALE,black,5.8,190.0,MED,BROOKLYN,76,0.16487389572939076,0,43694.0,7204.0,29343.0,9543.0,7147.0,PBBS,0.276,1.0,1,medium,young_adult
1,2017-01-16,10:50:00 AM,2017,January,Monday,Based on Self Initiated,O,Housing,5.0,46.0,MALE,black,6.0,200.0,MED,QUEENS,101,0.5258033251323343,1,67065.0,35263.0,19193.0,16941.0,12609.0,PBQS,0.388,5.0,3-5,tall,middle_age
0,2017-01-16,8:00:00 PM,2017,January,Monday,Based on Self Initiated,O,PSB,2.0,20.0,MALE,black,5.1,140.0,THN,BROOKLYN,79,0.6079678273489691,1,90263.0,54877.0,20375.0,20014.0,15011.0,PBBN,0.464,2.0,2,very_short,young_adult
0,2017-01-16,4:42:00 PM,2017,January,Monday,Based on Radio Run,O,PSB,20.0,40.0,MALE,hisp_latino,6.1,160.0,MED,QUEENS,115,0.0798479973889122,0,171576.0,13700.0,66142.0,110108.0,91734.0,PBQN,0.052,20.0,11-30,very_tall,middle_age
0,2017-01-17,12:40:00 PM,2017,January,Tuesday,Based on Radio Run,O,PSB,3.0,38.0,MALE,hisp_latino,5.11,235.0,MED,BRONX,44,0.40214147677221546,0,146441.0,58890.0,25956.0,92338.0,61595.0,PBBX,0.363,3.0,3-5,very_short,middle_age
1,2017-01-17,5:01:00 PM,2017,January,Tuesday,Based on Self Initiated,O,PSB,1.0,15.0,MALE,black,5.9,150.0,THN,BRONX,42,0.4816328577518117,0,79762.0,38416.0,13814.0,46013.0,27532.0,PBBX,0.363,1.0,1,tall,juvenile
0,2017-01-17,9:28:00 PM,2017,January,Tuesday,Based on Self Initiated,O,PSB,1.0,20.0,MALE,hisp_latino,5.6,140.0,THN,BRONX,48,0.3386135997886292,0,83266.0,28195.0,23662.0,53447.0,31409.0,PBBX,0.363,1.0,1,short,young_adult
0,2017-01-17,9:28:00 PM,2017,January,Tuesday,Based on Self Initiated,O,PSB,1.0,23.0,MALE,hisp_latino,5.9,170.0,THN,BRONX,48,0.3386135997886292,0,83266.0,28195.0,23662.0,53447.0,31409.0,PBBX,0.363,1.0,1,tall,young_adult
1,2017-01-17,9:28:00 PM,2017,January,Tuesday,Based on Self Initiated,O,PSB,1.0,20.0,MALE,hisp_latino,5.5,135.0,THN,BRONX,48,0.3386135997886292,0,83266.0,28195.0,23662.0,53447.0,31409.0,PBBX,0.363,1.0,1,short,young_adult
